title,url,thumbnail_url,channel,description
Destiny 2: The Witch Queen - Weapons and Gear Trailer,https://www.youtube.com/watch?v=jzTQJzJ6TG4,https://i.ytimg.com/vi/jzTQJzJ6TG4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt82iKXdpNs5tzle57vUODUohU3w,Destiny 2,"A new weapon archetype begins its journey at the Relic. Once honed to perfection, master your Glaive to perform powerful melee combos, fire projectiles, and deploy a powerful energy shield...."
True Facts: Proboscis Monkey,https://www.youtube.com/watch?v=qDZS1KO1SgA,https://i.ytimg.com/vi/qDZS1KO1SgA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCl4eOAm22Cd5QsqEWuKSxZzOexEA,zefrank1,"Go to https://curiositystream.com/Zefrank - get Curiosity Stream for only $14.99 for a whole year. Code zefrank. Posters, shirts, and more: https://ze-true-store.myshopify.com/ Patreon: https://www..."
Apex Legends: Defiance Gameplay Trailer,https://www.youtube.com/watch?v=OtVABKfc_AE,https://i.ytimg.com/vi/OtVABKfc_AE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAy2qM4gIWeY34VDph67p-HGHyYYA,Apex Legends,"Check out the brand new limited-time mode Control debuting in Apex Legends: Defiance, and see new Legend Mad Maggie in action amidst the chaos of a sabotaged Olympus. http://x.ea.com/72542..."
I have more christmas movies to complain about,https://www.youtube.com/watch?v=3HFi09o_iLU,,Drew Gooden,Sponsored by ExpressVPN. Go to https://www.expressvpn.com/drew and find out how you can get 3 months of ExpressVPN free. please don't look at the calendar. 00:00 - intro 01:19 - no sleep...
Renata Glasc: The Chem-Baroness | Champion Trailer - League of Legends,https://www.youtube.com/watch?v=X20X781I_-I,,League of Legends,"With her or against her, you’re always in her grasp. Renata Glasc Teaser: https://www.glascindustries.com/ Abilities Rundown: https://www.leagueoflegends.com/en-us/event/renata-glasc-abilities-r..."
Halo The Series (2022) | Official Trailer | Paramount+,https://www.youtube.com/watch?v=5KZ3MKraNKY,,Paramount Plus,"#HaloTheSeries #MasterChief #ParamountPlus Dramatizing an epic 26th-century conflict between humanity and an alien threat known as the Covenant, Halo the series will weave deeply drawn personal..."
Moving Into my Temporary Home…,https://www.youtube.com/watch?v=41GxLAdruDU,,morgans vlogs,HIIII!!! I cannot believe it has been a month.. I hope you all had a beautiful January and I am so excited to spend this year with you. 🤍 FOLLOW ME ON INSTAGRAM:https://www.instagram.com/morgan...
The BEST START EVER in Minecraft Hardcore! (#1),https://www.youtube.com/watch?v=EDYifz45dhU,,aCookieGod,The BEST START EVER in Minecraft Hardcore! We're BACK with SEASON 2 of my Minecraft Hardcore Series! A new episode will be coming EVERY FRIDAY! 🔥 SEASON 1: https://www.youtube.com/watch?v=dcXj...
Uncle Roger Review Matty Matheson Butter Chicken,https://www.youtube.com/watch?v=-9pS4yEz7jw,,mrnigelng,Matty Matheson is world famous Canadian chef. Can he make butter chicken? Original weejio: https://youtu.be/G6Qjf6IyclQ Extra shows for my standup tour now on sale ➡️ https://www.livenation.co...
TEXAS CHAINSAW MASSACRE | Official Trailer | Netflix,https://www.youtube.com/watch?v=zcI6SFiK_yk,,Netflix,"After nearly 50 years of hiding, Leatherface returns to terrorize a group of idealistic young friends who accidentally disrupt his carefully shielded world in a remote Texas town. Based on..."
